productcode,productlink,sensordet,operatetemp,isp,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,chromedet,sortfps,connectordet,resolutiondet
e-CAM220_CUMI327_MOD,/camera-modules/imx327-sony-starvis-full-hd-camera-module.asp,IMX327,-30°C to 85°C,No,2,60FPS,51,all camera-modules,1/2.8,/webstore.asp,RAW Bayer,60,MIPI CSI-2,2.0 MP
e-CAM221_CUMI462_MOD,/camera-modules/sony-starvis-imx462-low-light-camera-module.asp,IMX462,-30°C to 85°C,No,2,120FPS,52,all camera-modules,1/2.8,/webstore.asp,Color,120,MIPI CSI-2,Full HD
e-CAM21_CUMI290_MOD,/imx290-sony-starvis-cmos-camera-module.asp,IMX290,-30°C to 85°C,No,2,120FPS,53,all camera-modules,1/2.8,/webstore.asp#cumi290mod,RAW Bayer,120,MIPI CSI-2,2.0 MP
e-CAM27_CUMI290_MOD,/camera-modules/imx290-sony-starvis-2mp-camera-module.asp,IMX290,-30°C to 85°C,Yes,2,60FPS,54,all camera-modules,1/2.8,/webstore.asp,Color,60,MIPI CSI-2,2.0 MP
e-CAM137A_CUMI1335_MOD,/ar1335-camera-module.asp,AR1335,-30°C to 70°C,Yes,13,100FPS,55,all camera-modules2 high-resolution,1/3.2,/webstore.asp#137CUMI1335MOD,Color,100,MIPI CSI-2,13.0 MP
e-CAM131_CUMI1335_MOD,/4k-camera-module.asp,AR1335,-30°C to 70°C,Yes,13,120FPS,56,all camera-modules camera-modules2 high-resolution,1/3.2,/webstore.asp#CUMI1335,Color,120,MIPI CSI-2,13.0 MP
e-CAM130_CUMI1820_MOD,/13MP_MIPI_camera_module.asp,AR1820,-30°C to 70°C,Yes,13,72FPS,57,,1/2.3,/webstore.asp,Color,72,MIPI CSI-2,13.0 MP
e-CAM130_MI1335_MOD,/13mp-onsemi-autofocus-mipi-camera-module.asp,AR1335,-30°C to 70°C,Yes,13,120FPS,58,all camera-modules camera-modules2 high-resolution,1/3.2,/webstore.asp,Color,120,MIPI CSI-2,13.0 MP
e-CAM82_CUMI0821_MOD,/camera-modules/4k-8mp-hdr-camera-module-ar0821-sensor.asp,AR0821,-30°C to 70°C,Yes,8,30FPS,59,all camera-modules camera-modules2 high-resolution hdr,1/1.7,/webstore.asp,Color,30,MIPI CSI-2,8.0 MP
e-CAM85_CUMI0830C_MOD,/camera-modules/8mp-ar0830-camera-module.asp,AR0830,-30°C to 85°C,Yes,8,120FPS,60,all camera-modules high-resolution,1/2.9,/webstore.asp,Color,120,MIPI CSI-2,8.0 MP
e-CAM87_CUMI585_MOD,/camera-modules/sony-starvis-2-imx585-4k-camera-module.asp,IMX585,-30°C to 70°C,No,8,90FPS,61,all camera-modules,1/1.2,/webstore.asp,RAW Bayer,90,MIPI CSI-2,8.0 MP
e-CAM521_CUMI568C_MOD,/camera-modules/5mp-sony-pregius-imx568-global-shutter-camera-module.asp,IMX568,-30°C to 75°C,No,5,79FPS,62,all camera-modules global-shutter,1/1.8,/webstore.asp,RAW Bayer,79,MIPI CSI-2,5.0 MP
e-CAM55_CUMI0521_MOD,/5mp-ar0521-mipi-camera-module.asp,AR0521,-30°C to 70°C,Yes,5,100FPS,63,all camera-modules camera-modules2,1/2.5,/webstore.asp#cumi0521,Color,100,MIPI CSI-2,5.0 MP
e-CAM52A_MI5640_MOD,/ov5640-5mp-mipi-camera-module.asp,OV5640,-30°C to 70°C,Yes,5,60FPS,64,,1/4,/webstore.asp,Color,60,MIPI CSI-2,5.0 MP
e-CAM52A_5640_MOD,/5MP-parallel-camera-module.asp,OV5640,-30°C to 70°C,Yes,5,60FPS,65,,1/4,/webstore.asp,Color,60,Parallel,5.0 MP
e-CAM314_CUMI0341C_MOD,/camera-modules/3mp-ar0341at-150db-hdr-camera-module.asp,AR0341,-40°C to 80°C,Yes,3,60FPS,66,all camera-modules hdr,1/3.6,/webstore.asp,Color,60,MIPI CSI-2,3.0 MP
e-CAM31_MI0330_MOD,/ar0330-liquid-lens-camera-module.asp,AR0330,-30°C to 70°C,Yes,3,60FPS,67,,1/3,/webstore.asp,Color,60,MIPI CSI-2,3.4 MP
e-CAM30A_CUMI0330_MOD,/ar0330-lowlight-cameramodule.asp,AR0330,-30°C to 70°C,Yes,3,60FPS,68,,1/3,/webstore.asp#CU30AUSB_MOD,Color & NIR,60,MIPI CSI-2,3.4 MP
e-CAM227_CUMI2312C_MOD,/camera-modules/2mp-ov2312-global-shutter-rgb-ir-camera-module.asp,OV2312,-40°C to +80°C,Yes,2,36FPS,69,all camera-modules global-shutter,1/2.9,/webstore.asp,Color & NIR,36,MIPI CSI-2,2.0 MP
e-CAM222_CUMI2311_MOD,/camera-modules/global-shutter-monochrome-camera-module.asp,OV2311,-30°C to 85°C,No,2,280FPS,70,all camera-modules global-shutter,1/2.9,/webstore.asp,Mono,280,MIPI CSI-2,2.0 MP
e-CAM217_CUMI0234_MOD,/camera-modules/ar0234-global-shutter-camera-module.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,71,all camera-modules camera-modules2 global-shutter,1/2.6,/webstore.asp#cumi0234mod,Color,120,MIPI CSI-2,Full HD
e-CAM20_CU0230_MOD,/2mp-ar0230-hdr-camera-module-for-automotive.asp,AR0230AT,-40°C to 105°C,Yes,2,60FPS,72,all camera-modules2,1/2.7,/webstore.asp#CU0230_MOD,color,60,Parallel,Full HD
e-CAM180_CUMI1820_MOD,/camera-modules/ar1820-18mp-camera-module.asp,AR1820,-30°C to 70°C,No,18,119FPS,73,,1/2.3,/webstore.asp,Color,119,MIPI CSI-2,18.0 MP
e-CAM121_CUMI412C_MOD,/camera-modules/sony-imx412-12mp-camera-module.asp,IMX412,-20°C to 60°C,No,12,240FPS,74,all camera-modules high-resolution,1/2.3,/webstore.asp,Color,240,MIPI CSI-2,12.3 MP
e-CAM120_CUMI477C_MOD,/camera-modules/12mp-sony-imx477-camera-module.asp,IMX477,,No,12,240FPS,75,all camera-modules high-resolution,1/2.3,/webstore.asp,Color,240,MIPI CSI-2,12.3 MP
e-CAM519_CUMI335_MOD,/camera-modules/5mp-sony-starvis-imx335-camera-module.asp,IMX335,,No,5,30FPS,76,,1/2.8,/webstore.asp,Color,30,MIPI CSI-2,5.0 MP
e-CAM200_CUONX&nbsp;&nbsp;(Orin NX/NANO),/nvidia-cameras/jetson-orin-nx-cameras/20mp-ar2020-high-resolution-camera.asp,AR2020,-30°C to 70°C,No,20,29FPS,77,all nvidia-camera platform,1/1.8,/webstore.asp,Color & NIR,29,MIPI CSI-2,20.0 MP
e-CAM121_CUONX&nbsp;&nbsp;(Orin NX/NANO),/nvidia-cameras/jetson-orin-nx-cameras/12mp-sony-starvis-imx412-ultra-low-light-camera.asp,IMX412,-20°C to 60°C,No,12.3,240FPS,78,platform,1/2.3,/webstore.asp#ecam80cunx,Color,240,MIPI CSI-2,12.3 MP
e-CAM56_CUONX&nbsp;&nbsp;(Orin NX/NANO),/nvidia-cameras/jetson-orin-nx-cameras/5mp-imx568-global-shutter-camera.asp,IMX568,-30°C to 70°C,No,5,90FPS,79,platform,1/1.8,/webstore.asp,Color,90,MIPI CSI-2,5.0 MP
e-CAM50_CUONX&nbsp;&nbsp;(Orin NX/NANO),/nvidia-cameras/jetson-orin-nx-cameras/5mp-ar0521-color-camera.asp,AR0521,-30°C to 70°C,Yes,5,100FPS,80,all nvidia-camera,1/2.5,/webstore.asp#e-CAM50_CUONX,Color,100,MIPI CSI-2,5.0 MP
e-CAM84_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/4k-onsemi-ar0830-camera.asp,AR0830,-30°C to 70°C,Yes,8,120FPS,81,platform,1/2.9,/webstore.asp,Color,120,MIPI CSI-2,8.0 MP
e-CAM82_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/4k-imx485-camera.asp,IMX485,-30°C to 70°C,Yes,8,90FPS,82,,1/2,/webstore.asp,Color,90,MIPI CSI-2,8.4 MP
e-CAM81_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/ar0821-4k-hdr-camera.asp,AR0821,-30°C to 70°C,Yes,8,60FPS,83,,1/1.7,/webstore.asp,Color,60,MIPI CSI-2,8.0 MP
e-CAM80_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/4K-sony-starvis-imx415-ultra-low-light-camera.asp,IMX415,-30°C to 70°C,No,8,70FPS,84,platform,1/2.8,/webstore.asp#ecam80cunx,Color,70,MIPI CSI-2,8.0 MP
e-CAM25_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/full-hd-ar0234-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,85,all nvidia-camera platform,1/2.6,/webstore.asp#ecam25cuonx,Color,120,MIPI CSI-2,Full HD
