fpsicon,operatetemp,productlink,sensordet,productimage,resolutionicon,productcode,isp,filtervalue,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,productdesc,connectoricon,chromedet,imagealttag,sortfps,customRoiFps,connectordet,resolutiondet,focusicon,chromeicon,sensoricon
/images/icons/fps.png,-30°C to 85°C,/camera-modules/sony-starvis-imx462-low-light-camera-module.asp,IMX462,/images/hub-page/e-cam160_mi298_mod.png,/images/icons/resolution.png,e-CAM221_CUMI462_MOD,No,fixed raw-bayer color low-light 2mp mipi rolling hd sony 100fps without-enclosure 2-9ps 1-28 smart_surveillance smart_traffic ophthalmology no starvis camera-modules,2,120FPS,52,all camera-modules,1/2.8,/webstore.asp,2MP Ultra Low Light Camera Module,/images/icons/usb.png,Color,Ultra Low Light Camera Module,120,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/imx290-sony-starvis-cmos-camera-module.asp,IMX290,/images/hub-page/e-cam21_cumi290_mod.png,/images/icons/resolution.png,e-CAM21_CUMI290_MOD,No,fixed raw-bayer 2mp mipi rolling hdr sony 100fps without-enclosure laboratory_equipment low-light ultra_lowlight 2-9ps 1-28 no starvis camera-modules,2,120FPS,53,all camera-modules,1/2.8,/webstore.asp#cumi290mod,2MP IMX290 ultra-lowlight Camera Module,/images/icons/usb.png,RAW Bayer,Ultra Low Light Camera Module,120,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/camera-modules/imx290-sony-starvis-2mp-camera-module.asp,IMX290,/images/hub-page/e-cam27_cumi290_mod.png,/images/icons/resolution.png,e-CAM27_CUMI290_MOD,Yes,fixed color 2mp mipi rolling hdr sony 60fps without-enclosure laboratory_equipment low-light ultra_lowlight 2-9ps 1-28 yes starvis camera-modules,2,60FPS,54,all camera-modules,1/2.8,/webstore.asp,2MP IMX290 ultra-lowlight Camera Module,/images/icons/usb.png,Color,2MP Camera Module,60,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/ar1335-camera-module.asp,AR1335,/images/hub-page/e-cam131_cumi1335_mod.png,/images/icons/resolution.png,e-CAM137A_CUMI1335_MOD,Yes,300-2000 fixed color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure biometrics_border_control smart_classrooms 1-1ps 1-32 yes,13,100FPS,55,all camera-modules2 high-resolution,1/3.2,/webstore.asp#137CUMI1335MOD,13MP AR1335 FixedFocus Camera Module,/images/icons/usb.png,Color,13MP AR1335 FixedFocus Camera Module,100,816FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/4k-camera-module.asp,AR1335,/images/hub-page/e-cam131_cumi1335_mod.png,/images/icons/resolution.png,e-CAM131_CUMI1335_MOD,Yes,300-2000 fixed color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure ophthalmology dentistry assistive_technology dermatology biometrics_border_control smart_classrooms 1-1ps 1-32 yes camera-modules,13,120FPS,56,all camera-modules camera-modules2 high-resolution,1/3.2,/webstore.asp#CUMI1335,13MP 4K Camera Module,/images/icons/usb.png,Color,13MP 4K Camera Module,120,816FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/13MP_MIPI_camera_module.asp,AR1820,/images/hub-page/e-cam130_cumi1820_mod.png,/images/icons/resolution.png,e-CAM130_CUMI1820_MOD,Yes,fixed color 13mp mipi rolling hd ultra-hd onsemi 60fps without-enclosure plm 1-25ps 1-23 yes,13,72FPS,57,,1/2.3,/webstore.asp,13MP AR1820HS MIPI Camera Module,/images/icons/usb.png,Color,13MP AR1820HS MIPI Camera Module,72,,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/13mp-onsemi-autofocus-mipi-camera-module.asp,AR1335,/images/hub-page/e-cam130_mi1335_mod.png,/images/icons/resolution.png,e-CAM130_MI1335_MOD,Yes,300-2000 auto color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure assistive_technology dermatology industrial_tablets 1-1ps 1-32 yes camera-modules,13,120FPS,58,all camera-modules camera-modules2 high-resolution,1/3.2,/webstore.asp,13MP AutoFocus Camera Module,/images/icons/usb.png,Color,13MP AutoFocus Camera Module,120,816FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/camera-modules/4k-8mp-hdr-camera-module-ar0821-sensor.asp,AR0821,/images/eCAM/e-CAM82_CUMI0821_MOD/4k-8mp-hdr-camera-module-thumb.png,/images/icons/resolution.png,e-CAM82_CUMI0821_MOD,Yes,fixed color 8mp mipi rolling onsemi 30fps hd hdr ultra-hd without-enclosure 2-1ps 1-2 kiosk auto_farming parking_lot_management sports_broadcasting laboratory_equipment smart_traffic retail_store_automation yes camera-modules,8,30FPS,59,all camera-modules camera-modules2 high-resolution hdr,1/1.7,/webstore.asp,8MP (4K) HDR MIPI Camera Module,/images/icons/usb.png,Color,8MP (4K) HDR MIPI Camera Module,30,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 85°C,/camera-modules/8mp-ar0830-camera-module.asp,AR0830,,,e-CAM85_CUMI0830C_MOD,Yes,color 8mp mipi rolling onsemi 100fps without-enclosure yes camera-modules,8,120FPS,60,all camera-modules high-resolution,1/2.9,/webstore.asp,,,Color,,120,,MIPI CSI-2,8.0 MP,,,
,-30°C to 70°C,/camera-modules/sony-starvis-2-imx585-4k-camera-module.asp,IMX585,,,e-CAM87_CUMI585_MOD,No,raw-bayer 8mp mipi rolling sonyStarvisTwo low-light 60fps without-enclosure no camera-modules,8,90FPS,61,all camera-modules,1/1.2,/webstore.asp,,,RAW Bayer,,90,,MIPI CSI-2,8.0 MP,,,
,-30°C to 75°C,/camera-modules/5mp-sony-pregius-imx568-global-shutter-camera-module.asp,IMX568,,,e-CAM521_CUMI568C_MOD,No,raw-bayer 5mp mipi Global sonyPregiusS 60fps without-enclosure no camera-modules,5,79FPS,62,all camera-modules global-shutter,1/1.8,/webstore.asp,,,RAW Bayer,,79,,MIPI CSI-2,5.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/5mp-ar0521-mipi-camera-module.asp,AR0521,/images/hub-page/e-cam55_cumi0521_mod.png,/images/icons/resolution.png,e-CAM55_CUMI0521_MOD,Yes,fixed color 5mp mipi rolling onsemi 100fps without-enclosure 2-2ps 1-25 low-noise hd laboratory_equipment dermatology quality_control_inspection smart_checkout_and_carts yes camera-modules,5,100FPS,63,all camera-modules camera-modules2,1/2.5,/webstore.asp#cumi0521,5MP AR0521 MIPI Camera Module,/images/icons/usb.png,Color,5MP AR0521 MIPI Camera Module,100,,MIPI CSI-2,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/ov5640-5mp-mipi-camera-module.asp,OV5640,/images/hub-page/e-cam52a_mi5640_mod.png,/images/icons/resolution.png,e-CAM52A_MI5640_MOD,Yes,auto color 5mp mipi rolling hd OmniVision 60fps without-enclosure handheld 1-4ps 1-4 yes,5,60FPS,64,,1/4,/webstore.asp,5 MP MIPI Camera Module,/images/icons/usb.png,Color,5 MP MIPI Camera Module,60,,MIPI CSI-2,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/5MP-parallel-camera-module.asp,OV5640,/images/hub-page/e-cam52a_5640_mod.png,/images/icons/resolution.png,e-CAM52A_5640_MOD,Yes,auto color 5mp parallel rolling hd OmniVision 60fps without-enclosure handheld 1-4ps 1-4 yes,5,60FPS,65,,1/4,/webstore.asp,5 MP Parallel Camera Module,/images/icons/usb.png,Color,5 MP Parallel Camera Module,60,,Parallel,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-40°C to 80°C,/camera-modules/3mp-ar0341at-150db-hdr-camera-module.asp,AR0341,,,e-CAM314_CUMI0341C_MOD,Yes,raw-bayer 3mp mipi hdr rolling onsemi 60fps without-enclosure yes camera-modules,3,60FPS,66,all camera-modules hdr,1/3.6,/webstore.asp,,,Color,,60,,MIPI CSI-2,3.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/ar0330-liquid-lens-camera-module.asp,AR0330,/images/hub-page/e-cam31_mi0330_mod.png,/images/icons/resolution.png,e-CAM31_MI0330_MOD,Yes,auto color 3-4mp mipi rolling low-light onsemi 60fps without-enclosure 2-2ps 1-3 yes,3,60FPS,67,,1/3,/webstore.asp,3.4 MP AF Liquid Lens Camera Module,/images/icons/usb.png,Color,3.4 MP Autofocus (Liquid Lens),60,,MIPI CSI-2,3.4 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/ar0330-lowlight-cameramodule.asp,AR0330,images/hub-page/see3cam_cu30.png,/images/icons/resolution.png,e-CAM30A_CUMI0330_MOD,Yes,fixed color ir 3-4mp mipi rolling low-light hd onsemi 60fps without-enclosure ophthalmology dentistry laboratory_equipment 2-2ps 1-3 yes,3,60FPS,68,,1/3,/webstore.asp#CU30AUSB_MOD,3.4 MP Low Light Camera Module,/images/icons/usb.png,Color & NIR,3.4 MP Custom Lens Low Light,60,,MIPI CSI-2,3.4 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-40°C to +80°C,/camera-modules/2mp-ov2312-global-shutter-rgb-ir-camera-module.asp,OV2312,,,e-CAM227_CUMI2312C_MOD,Yes,2mp mipi color ir colornir fixed Global rgbir 2-1ps 30fps OmniVision without-enclosure yes camera-modules,2,36FPS,69,all camera-modules global-shutter,1/2.9,/webstore.asp,,,Color & NIR,,36,,MIPI CSI-2,2.0 MP,,,
/images/icons/fps.png,-30°C to 85°C,/camera-modules/global-shutter-monochrome-camera-module.asp,OV2311,/images/hub-page/e-cam222_cumi2311_mod.png,/images/icons/resolution.png,e-CAM222_CUMI2311_MOD,No,fixed monochrome 2mp mipi Global hd OmniVision 200fps 3ps 1-29 without-enclosure no camera-modules,2,280FPS,70,all camera-modules global-shutter,1/2.9,/webstore.asp,2.0 MP Monochrome MIPI Camera Module,/images/icons/usb.png,Mono,2.0 MP Global Shutter Monochrome MIPI Camera Module,280,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/camera-modules/ar0234-global-shutter-camera-module.asp,AR0234,/images/hub-page/e-cam217_cumi0234_mod.png,/images/icons/resolution.png,e-CAM217_CUMI0234_MOD,Yes,fixed color 2mp mipi Global onsemi hd 100fps without-enclosure 3ps 1-26 autonomous_mobile_robots smart_traffic yes camera-modules,2,120FPS,71,all camera-modules camera-modules2 global-shutter,1/2.6,/webstore.asp#cumi0234mod,Full HD Color Global Shutter Camera Module,/images/icons/usb.png,Color,Global Shutter Camera Module,120,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-40°C to 105°C,/2mp-ar0230-hdr-camera-module-for-automotive.asp,AR0230AT,/images/hub-page/e-cam20_cu0230_mod.png,/images/icons/resolution.png,e-CAM20_CU0230_MOD,Yes,fixed color 2mp parallel hdr rolling 60fps without-enclosure onsemi low-light kiosk inside_vehicle auto_farming smart_surveillance smart_traffic smart_checkout_and_carts 3ps 1-27 yes,2,60FPS,72,all camera-modules2,1/2.7,/webstore.asp#CU0230_MOD,2MP Wide temperature Range Industrial grade Camera module,/images/icons/usb.png,color,2MP Wide temperature Range Industrial grade Camera module,60,,Parallel,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/camera-modules/ar1820-18mp-camera-module.asp,AR1820,/images/eCAM/e-CAM180_CUMI1820_MOD/18mp-ar1820hs-mipi-camera-module-thumb.png,/images/icons/resolution.png,e-CAM180_CUMI1820_MOD,No,fixed color 18mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure 1-25ps 1-23 smart_surveillance no,18,119FPS,73,,1/2.3,/webstore.asp,18MP AR1820 MIPI Camera Module,/images/icons/usb.png,Color,18MP AR1820 MIPI Camera Module,119,,MIPI CSI-2,18.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-20°C to 60°C,/camera-modules/sony-imx412-12mp-camera-module.asp,IMX412,"/images/eCAM/e-CAM180_CUMI1820_MOD/18mp-ar1820hs-mipi-camera-module-thumb.png,",/images/icons/resolution.png,e-CAM121_CUMI412C_MOD,No,fixed color 12mp mipi rolling hd ultra-hd sony 200fps without-enclosure 1-55ps 1-23 no starvis camera-modules,12,240FPS,74,all camera-modules high-resolution,1/2.3,/webstore.asp,12.3 MP IMX412 MIPI Camera Module,/images/icons/usb.png,Color,12.3 MP IMX412 MIPI Camera Module,240,,MIPI CSI-2,12.3 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,,/camera-modules/12mp-sony-imx477-camera-module.asp,IMX477,/images/eCAM/e-CAM120_CUMI477C_MOD/12.3MP-camera-based-on-Sony-Exmor-RS-IMX477-CMOS-thumb.png,/images/icons/resolution.png,e-CAM120_CUMI477C_MOD,No,fixed color 12mp mipi rolling hd ultra-hd sony 200fps without-enclosure 1-55ps 1-23 no exmor camera-modules,12,240FPS,75,all camera-modules high-resolution,1/2.3,/webstore.asp,12 MP IMX477 MIPI Camera Module,/images/icons/usb.png,Color,12 MP IMX477 MIPI Camera Module,240,,MIPI CSI-2,12.3 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,,/camera-modules/5mp-sony-starvis-imx335-camera-module.asp,IMX335,,,e-CAM519_CUMI335_MOD,No,fixed color 5mp mipi rolling hd sony 30fps without-enclosure 2ps 1-28 no starvis,5,30FPS,76,,1/2.8,/webstore.asp,,,Color,,30,,MIPI CSI-2,5.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-orin-nx-cameras/20mp-ar2020-high-resolution-camera.asp,AR2020,/images/eCAM/e-CAM200_CUONX/20mp-high-resolution-camera-for-nvidia-jetson-orin-nx-nvidia-jetson-orin-nano-dev-kit-thumb.png,/images/icons/resolution.png,e-CAM200_CUONX&nbsp;&nbsp;(Orin NX/NANO),No,fixed color colornir ir 20mp mipi rolling orinnx grr onsemi lt30fps without-enclosure 2-2ps 1-23 smart_surveillance no,20,29FPS,77,all nvidia-camera platform,1/1.8,/webstore.asp,20MP AR2020 high resolution camera for NVIDIA&reg; Jetson Orin NX / Orin Nano,/images/icons/usb.png,Color & NIR,20MP AR2020 high resolution camera for NVIDIA&reg; Jetson Orin NX / Orin Nano,29,,MIPI CSI-2,20.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-20°C to 60°C,/nvidia-cameras/jetson-orin-nx-cameras/12mp-sony-starvis-imx412-ultra-low-light-camera.asp,IMX412,/images/eCAM/e-CAM121_CUONX/12mp-imx412-mipi-csi-2-ultra-low-light-camera-thumb.png,/images/icons/resolution.png,e-CAM121_CUONX&nbsp;&nbsp;(Orin NX/NANO),No,fixed color 13mp mipi rolling orinnx orinnano starvis 200fps without-enclosure 2-2ps 1-23 low-light hd smart_surveillance no,12.3,240FPS,78,platform,1/2.3,/webstore.asp#ecam80cunx,12MP Sony&reg; Starvis&trade; IMX412 Ultra Low Light Camera,/images/icons/usb.png,Color,12MP Sony&reg; Starvis&trade; IMX412 Ultra Low Light Camera,240,,MIPI CSI-2,12.3 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 70°C,/nvidia-cameras/jetson-orin-nx-cameras/5mp-imx568-global-shutter-camera.asp,IMX568,,,e-CAM56_CUONX&nbsp;&nbsp;(Orin NX/NANO),No,raw-bayer 5mp mipi Global sonyPregiusS orinnx orinnano 60fps without-enclosure no camera-modules,5,90FPS,79,platform,1/1.8,/webstore.asp,,,Color,,90,,MIPI CSI-2,5.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-orin-nx-cameras/5mp-ar0521-color-camera.asp,AR0521,/images/hub-page/e-cam50_cunx.png,/images/icons/resolution.png,e-CAM50_CUONX&nbsp;&nbsp;(Orin NX/NANO),Yes,fixed color 5mp mipi rolling orinnx orinnano onsemi 100fps without-enclosure 2-2ps 1-25 low-noise hd smart_surveillance yes,5,100FPS,80,all nvidia-camera,1/2.5,/webstore.asp#e-CAM50_CUONX,5MP Camera for Jetson Orin NX/NANO,/images/icons/usb.png,Color,5MP Camera for Jetson Orin NX/NANO,100,,MIPI CSI-2,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-orin-nx-cameras/4k-onsemi-ar0830-camera.asp,AR0830,/images/eCAM/e-CAM84_CUONX/4k-mipi-csi-2-fixed-focus-color-camera-for-nvidia-jetson-orin-nx-nvidia-jetson-orin-nano-developer-kit-thumb.png,/images/icons/resolution.png,e-CAM84_CUONX&nbsp;&nbsp;(Orin NX/Nano),Yes,8mp mipi orinnx orinnano color fixed rolling 1-29 100fps without-enclosure yes onsemi,8,120FPS,81,platform,1/2.9,/webstore.asp,4K onsemi AR0830 Camera for NVIDIA&reg; Jetson Orin NX/Nano,/images/icons/usb.png,Color,4K onsemi AR0830 Camera for NVIDIA&reg; Jetson Orin NX/Nano,120,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-orin-nx-cameras/4k-imx485-camera.asp,IMX485,/images/eCAM/e-CAM82_CUONX/4k-sony-starvis-imx485-for-nvidia-jetson-orin-nx-orin-nano-kit-thumb.png,/images/icons/resolution.png,e-CAM82_CUONX&nbsp;&nbsp;(Orin NX/Nano),Yes,8mp mipi orinnx orinnano color fixed rolling low-light 1-2 60fps without-enclosure yes starvis,8,90FPS,82,,1/2,/webstore.asp,4K Sony&reg; STARVIS&trade; IMX485 Camera for NVIDIA&reg; Jetson Orin NX/Nano,/images/icons/usb.png,Color,4K Sony&reg; STARVIS&trade; IMX485 Camera for NVIDIA&reg; Jetson Orin NX/Nano,90,,MIPI CSI-2,8.4 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-orin-nx-cameras/ar0821-4k-hdr-camera.asp,AR0821,,/images/icons/resolution.png,e-CAM81_CUONX&nbsp;&nbsp;(Orin NX/Nano),Yes,8mp mipi orinnx orinnano color fixed rolling hdr 1-17 60fps without-enclosure yes onsemi,8,60FPS,83,,1/1.7,/webstore.asp,4K HDR Camera for NVIDIA&reg; Jetson Orin NX/Nano,/images/icons/usb.png,Color,,60,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-orin-nx-cameras/4K-sony-starvis-imx415-ultra-low-light-camera.asp,IMX415,/images/hub-page/e-cam80_cunx.png,/images/icons/resolution.png,e-CAM80_CUONX&nbsp;&nbsp;(Orin NX/Nano),No,8mp mipi orinnx orinnano color fixed rolling low-light ultra-hd hd sony 1-45ps 60fps without-enclosure 1-28 autonomous_mobile_robots smart_traffic quality_control_inspection no starvis,8,70FPS,84,platform,1/2.8,/webstore.asp#ecam80cunx,Sony 4K Camera for NVIDIA&reg; Jetson Orin NX/Nano,/images/icons/usb.png,Color,Sony 4K Camera for NVIDIA&reg; Jetson Orin NX/Nano,70,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-orin-nx-cameras/full-hd-ar0234-global-shutter-camera.asp,AR0234,/images/hub-page/e-cam24_cunx.png,/images/icons/resolution.png,e-CAM25_CUONX&nbsp;&nbsp;(Orin NX/Nano),Yes,fixed color 2mp mipi Global orinnx orinnano onsemi hd 100fps without-enclosure 3ps 1-26 autonomous_mobile_robots smart_traffic yes,2,120FPS,85,all nvidia-camera platform,1/2.6,/webstore.asp#ecam25cuonx,Global Shutter Camera for Jetson Orin NX/NANO,/images/icons/usb.png,Color,Global Shutter Camera for Jetson Orin NX/NANO,120,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-nx-cameras/5mp-mipi-camera-board.asp,AR0521,/images/hub-page/e-cam50_cunx.png,/images/icons/resolution.png,e-CAM50_CUNX&nbsp;&nbsp;(Xavier NX/NANO),Yes,fixed color 5mp mipi rolling nx nano onsemi 100fps without-enclosure 2-2ps 1-25 low-noise hd smart_surveillance yes,5,100FPS,86,all nvidia-camera,1/2.5,/webstore.asp#5mpnxcamera,5MP Camera for Jetson Xavier NX/NANO,/images/icons/usb.png,Color,5MP Camera for Jetson Xavier NX/NANO,100,,MIPI CSI-2,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-xavier-nx-cameras/sony-starvis-imx415-4k-mipi-camera.asp,IMX415,/images/hub-page/e-cam80_cunx.png,/images/icons/resolution.png,e-CAM80_CUNX&nbsp;&nbsp;(Xavier NX/Nano),No,8mp mipi nano nx color fixed rolling low-light ultra-hd hd sony 1-45ps 60fps without-enclosure 1-28 autonomous_mobile_robots smart_traffic quality_control_inspection no starvis,8,70FPS,87,platform,1/2.8,/webstore.asp#ecam80cunx,Sony 4K Camera for NVIDIA&reg; Jetson Xavier&trade; NX,/images/icons/usb.png,Color,Sony 4K Camera for NVIDIA&reg; Jetson Xavier&trade; NX,70,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-xavier-nx-cameras/full-hd-xavier-nx-global-shutter-camera.asp,AR0234,/images/hub-page/e-cam24_cunx.png,/images/icons/resolution.png,e-CAM24_CUNX&nbsp;(Xavier NX/Nano/TX2 NX),Yes,fixed color 2mp mipi Global nano tx2-nx nx onsemi hd 100fps without-enclosure 3ps 1-26 autonomous_mobile_robots smart_traffic yes,2,120FPS,88,all nvidia-camera platform,1/2.6,/webstore.asp#24cunx,Global Shutter Camera for Jetson Xavier NX/TX2 NX/NANO,/images/icons/usb.png,Color,Global Shutter Camera for Jetson Xavier NX/NANO,120,,MIPI CSI-2,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-xavier-nx-cameras/4k-camera-for-jetson-nano-xavier-nx.asp,AR1335,/images/hub-page/e-cam131_cunx.png,/images/icons/resolution.png,e-CAM131_CUNX&nbsp;&nbsp;(Xavier NX/NANO),Yes,fixed color 13mp mipi rolling nx nano onsemi 100fps without-enclosure 1-1ps 1-32 hd ultra-hd yes 300-2000,13,115FPS,89,all nvidia-camera platform,1/3.2,/webstore.asp#13mpnxcamera,13MP Camera for Jetson Xavier NX/NANO,/images/icons/usb.png,Color,13MP Camera for Jetson Xavier NX/NANO,115,>300FPS,MIPI CSI-2,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/nvidia-cameras/jetson-xavier-nx-cameras/2mp-ov2311-global-shutter-monochrome-camera.asp,OV2311,/images/hub-page/e-cam23_cunx.png,/images/icons/resolution.png,e-CAM23_CUNX&nbsp;&nbsp;(Xavier NX),No,fixed monochrome 2mp mipi OmniVision Global 200fps without-enclosure NX low-light street_surveil ultra_lowlight 2-9ps 1-29 no,2,280FPS,90,platform,1/2.9,/webstore.asp,2MP Global Shutter Monochrome Camera for Jetson Xavier NX,/images/icons/usb.png,Mono,2MP Global Shutter Monochrome Camera,280,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/nvidia-cameras/jetson-xavier-nx-cameras/sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,/images/hub-page/e-cam21_cunx.png,/images/icons/resolution.png,e-CAM22_CUNX&nbsp;&nbsp;(Xavier NX),No,fixed color 2mp mipi rolling low-light hd nx sony 60fps without-enclosure 2-9ps 1-28 smart_surveillance smart_traffic sports_broadcasting parking_lot_management ophthalmology no starvis,2,60FPS,91,,1/2.8,/webstore.asp#22cunx,Full HD IMX327 Camera for Jetson Xavier NX,/images/icons/usb.png,Color,SONY STARVIS&trade; IMX327 Camera for Jetson Xavier NX,60,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/nvidia-cameras/jetson-xavier-nx-cameras/sony-imx327-ultra-low-light-camera.asp,IMX327,/images/hub-page/e-cam21_cunx.png,/images/icons/resolution.png,e-CAM21_CUNX&nbsp;&nbsp;(Xavier NX),No,fixed color 2mp mipi rolling low-light hd nx sony 60fps without-enclosure 2-9ps 1-28 no starvis,2,60FPS,92,,1/2.8,/webstore.asp,Full HD IMX327 Camera for Jetson Xavier NX,/images/icons/usb.png,Color,SONY STARVIS&trade; IMX327 Camera for Jetson Xavier NX,60,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 70°C,/nvidia-cameras/jetson-xavier-nx-cameras/4k-sony-starvis-imx485-camera.asp,IMX485,,,e-CAM82_CUNX&nbsp;&nbsp;(Xavier NX),No,fixed color 8mp mipi rolling sony starvis 60fps hd low-light with-enclosure 2-1ps 1-2 nx no,8,62FPS,93,,1/1.2,/webstore.asp,,,Color,,62,,MIPI CSI-2,8.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/nvidia-cameras/jetson-tx2-nx-cameras/ar0821-8mp-hdr-camera.asp,AR0821,/images/eCAM/e-CAM81_CUNX/8mp-hdr-camera-for-jetson-xavier-nx-thumb.png,/images/icons/resolution.png,e-CAM81_CUNX&nbsp;&nbsp;(Xavier NX/TX2 NX/Nano),Yes,fixed color 8mp mipi rolling onsemi 30fps hd hdr ultra-hd without-enclosure 2-1ps 1-2 nano tx2-nx nx kiosk auto_farming parking_lot_management sports_broadcasting laboratory_equipment smart_traffic retail_store_automation yes,8,30FPS,94,all nvidia-camera platform,1/1.7,/webstore.asp#ecam81cunx,Four Synchronized Sony STARVIS&trade; IMX327 Ultra Low-Light MIPI Camera,/images/icons/usb.png,Color,Four Synchronized Sony STARVIS&trade; IMX327 Ultra Low-Light MIPI Camera,30,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
